,name,id,jk,activation,gnn_layers,architecture,learning_rate,hidden_channels,selected_extra_feature,target,train_loss,val_loss,eval_loss,best_train_loss,best_val_loss,train_acc,val_acc,eval_accuracy,best_train_accuracy,best_val_accuracy,mean_error,mean_abs_error,std_error,duration
41,apricot-sweep-5094,l8bunjry,none,elu,5,GATLinNet,0.001,16,predicted_probability,true_labels_all_padded,0.13517731726169585,0.13727915436029434,0.1394452154636383,0.13480767607688904,0.13692009449005127,69.4354019165039,69.35713958740234,67.17391967773438,69.4354019165039,69.35713958740234,none,none,none,474.31776092760265
42,dashing-sweep-5095,h0l0y91y,none,elu,5,GATLinNet,0.001,16,true_probability,true_labels_all_padded,0.07493309304118156,0.07639515027403831,0.172407865524292,0.06855293363332748,0.07011117786169052,86.35328674316406,86.46837615966797,69.27067565917969,87.49459075927734,87.24655151367188,none,none,none,478.2752227239544
43,whole-sweep-5093,37d6gfp8,none,elu,5,GATLinNet,0.001,16,none,true_labels_all_padded,0.1634851574897766,0.16587854623794557,0.16793273389339447,0.16335110366344452,0.16567370295524597,59.862525939941406,59.91958999633789,58.62262725830078,60.10462188720703,60.04496383666992,none,none,none,478.15792552987114
44,northern-sweep-5091,zamvegk7,none,elu,5,GATLinNet,0.01,16,true_probability,true_labels_all_padded,0.05605769529938698,0.05789813101291656,0.16237381100654602,0.05547957122325897,0.05731954053044319,92.2918472290039,91.93722534179688,72.5346908569336,92.5757293701172,92.19661712646484,none,none,none,467.7895139250904
45,true-sweep-5092,jlvzkskq,none,elu,5,GATLinNet,0.01,16,noisy_probability,true_labels_all_padded,0.06608846485614776,0.06857914105057716,0.1517881155014038,0.06567101180553436,0.06827647238969803,88.52206420898438,88.24089050292969,70.7103042602539,89.64175415039062,89.38654327392578,none,none,none,477.2076301160269
46,youthful-sweep-5090,xll3o4cx,none,elu,5,GATLinNet,0.01,16,predicted_probability,true_labels_all_padded,0.11895210593938828,0.12331624403595924,0.12480241805315018,0.1186089739203453,0.12283188849687576,72.76998138427734,72.54766082763672,71.68302917480469,73.63893127441406,73.4166259765625,none,none,none,475.6024983637035
47,efficient-sweep-5089,ypdmpzp7,none,elu,5,GATLinNet,0.01,16,none,true_labels_all_padded,0.1405177190899849,0.14480777382850646,0.14525450766086578,0.1393410861492157,0.14332082867622375,66.070556640625,65.61756896972656,64.76589965820312,66.80980682373047,66.64649200439453,none,none,none,474.7655013720505
48,atomic-sweep-5076,pame63nx,none,elu,3,GATLinNet,0.0001,128,noisy_probability,true_labels_all_padded,0.1134898766875267,0.11427626460790634,0.19956886768341064,0.1133640855550766,0.11415044963359831,65.4437026977539,65.15499114990234,48.93000793457031,65.4437026977539,65.15499114990234,none,none,none,768.1378265004605
49,icy-sweep-5075,dtl5iv8x,none,elu,3,GATLinNet,0.0001,128,true_probability,true_labels_all_padded,0.10405264645814896,0.104965540766716,0.1919354498386383,0.10391666740179062,0.10484034568071364,67.40352630615234,67.69271087646484,55.24188232421875,67.40352630615234,67.69271087646484,none,none,none,764.2831054329872
50,stoic-sweep-5072,iiruhagc,none,elu,3,GATLinNet,0.001,128,noisy_probability,true_labels_all_padded,0.09360818564891817,0.09407348856329918,0.18844784796237943,0.09338448941707612,0.09385016560554504,77.60757446289062,77.63174438476562,56.39185333251953,78.72438049316406,78.72984313964844,none,none,none,756.9689491735771
51,zesty-sweep-5074,7cd74h80,none,elu,3,GATLinNet,0.0001,128,predicted_probability,true_labels_all_padded,0.17068852484226227,0.17057207822799683,0.1740964949131012,0.1705739200115204,0.17045466601848602,54.207855224609375,54.59772491455078,53.845489501953125,54.207855224609375,54.59772491455078,none,none,none,759.263720465824
52,sandy-sweep-5071,66sorlfh,none,elu,3,GATLinNet,0.001,128,true_probability,true_labels_all_padded,0.08140233904123306,0.08262224420905113,0.1886131912469864,0.08130590617656708,0.08254572004079819,80.07897186279297,79.9144058227539,64.04824829101562,80.30665588378906,80.18675994873047,none,none,none,768.1764834551141
53,rosy-sweep-5073,eo9ekeof,none,elu,3,GATLinNet,0.0001,128,none,true_labels_all_padded,0.21572651118040084,0.21656306385993956,0.2184925526380539,0.21543173491954803,0.21626834571361545,43.99083709716797,44.03181838989258,43.309844970703125,43.99083709716797,44.03181838989258,none,none,none,755.1140991599532
54,radiant-sweep-5070,qlp65dti,none,elu,3,GATLinNet,0.001,128,predicted_probability,true_labels_all_padded,0.14977264255285264,0.15032702833414077,0.1545809805393219,0.14962337911128998,0.15017768740653992,62.9737434387207,62.95880126953125,63.31330490112305,64.78082275390625,64.75724792480469,none,none,none,757.1392558789812
55,pleasant-sweep-5069,ujd9z8jl,none,elu,3,GATLinNet,0.001,128,none,true_labels_all_padded,0.1830105736851692,0.18499268293380736,0.18631236255168915,0.18196487426757812,0.1839965581893921,54.26261520385742,54.4680290222168,54.14379119873047,54.82750701904297,55.06031036376953,none,none,none,770.4192926809192
56,usual-sweep-5068,wrmcznws,none,elu,3,GATLinNet,0.01,128,noisy_probability,true_labels_all_padded,0.0957622729241848,0.09655311778187751,0.17708100378513336,0.08919019997119904,0.09006613492965698,78.88002014160156,78.9287109375,59.99740219116211,81.0675277709961,81.00385284423828,none,none,none,762.5590630141087
57,dry-sweep-5067,jnnxa0p9,none,elu,3,GATLinNet,0.01,128,true_probability,true_labels_all_padded,0.07391151636838914,0.07603721842169761,0.17373527586460114,0.0727350115776062,0.07506737112998962,84.0389633178711,83.87445068359375,67.64947509765625,85.54917907714844,85.45242309570312,none,none,none,749.758431481896
58,rose-sweep-5066,fxgvltvx,none,elu,3,GATLinNet,0.01,128,predicted_probability,true_labels_all_padded,0.14038495421409608,0.1434796780347824,0.14459529519081116,0.1395500749349594,0.14262285828590393,66.89771270751953,66.6897201538086,65.92884063720703,67.29689025878906,67.1868896484375,none,none,none,763.6857871906832
59,robust-sweep-5065,hsksarf9,none,elu,3,GATLinNet,0.01,128,none,true_labels_all_padded,0.1795196995139122,0.18203589618206023,0.18339169025421145,0.1783547401428223,0.18093638122081757,53.93693923950195,54.19134521484375,53.2186279296875,53.95423126220703,54.19134521484375,none,none,none,751.1687979458366
60,azure-sweep-5051,9z6rr1gz,none,elu,3,GATLinNet,0.0001,64,true_probability,true_labels_all_padded,0.12718522399663926,0.12664812058210373,0.19887882471084595,0.1268836110830307,0.12633836269378662,55.44139099121094,55.816871643066406,44.53330993652344,55.44139099121094,55.816871643066406,none,none,none,541.220782155171
61,decent-sweep-5052,p3hjnim8,none,elu,3,GATLinNet,0.0001,64,noisy_probability,true_labels_all_padded,0.13070621937513352,0.13166818618774415,0.20093663036823273,0.13044708967208862,0.1314113289117813,55.49182891845703,55.2894401550293,41.62379455566406,55.49182891845703,55.2894401550293,none,none,none,550.1720488450956
62,woven-sweep-5050,z5ktby3y,none,elu,3,GATLinNet,0.0001,64,predicted_probability,true_labels_all_padded,0.1894526183605194,0.1888350322842598,0.1923997402191162,0.18926537036895752,0.18864430487155912,43.665157318115234,44.075050354003906,43.184471130371094,43.665157318115234,44.075050354003906,none,none,none,547.4187161903828
